%DISTANCES (mm from top)	%sample	%d13C?	%original d18O?
138.21	1.00	2.44	-4.78
139.78	1.00	1.47	-4.87
140.39	1.00	2.00	-4.77
141.93	1.00	1.90	-4.63
142.66	1.00	1.82	-4.86
143.90	1.00	1.69	-4.73
144.64	1.00	1.66	-4.68
145.82	1.00	2.01	-4.77
146.42	1.00	2.46	-4.81
148.02	1.00	2.53	-4.80
148.75	1.00	2.36	-4.94
149.73	1.00	2.52	-5.15
150.54	1.00	2.11	-4.90
151.65	1.00	1.92	-4.76
152.53	1.00	1.85	-4.89
153.65	1.00	1.66	-4.64
154.33	1.00	1.79	-4.83
156.03	1.00	1.56	-4.85
156.61	1.00	1.59	-4.85
158.06	1.00	0.99	-4.73
158.59	1.00	1.57	-5.03
159.15	1.00	1.36	-4.61
160.02	1.00	1.14	-4.89
160.75	1.00	1.11	-4.83
162.15	1.00	1.59	-4.90
162.87	1.00	1.56	-4.81
164.15	1.00	1.21	-4.72
164.71	1.00	1.14	-4.69
165.95	1.00	1.25	-4.76
166.22	1.00	1.19	-4.61
166.52	1.00	1.24	-4.83
166.92	1.00	NaN	-4.50
167.62	1.00	1.08	-4.78
169.13	1.00	1.50	-4.65
169.84	1.00	1.57	-4.89
170.91	1.00	1.76	-4.96
171.92	1.00	2.04	-4.91
172.41	1.00	2.01	-4.98
173.19	1.00	1.86	-4.98
173.72	1.00	1.86	-4.87
174.28	1.00	1.86	-4.85
175.10	1.00	1.74	-4.89
176.28	1.00	1.60	-4.93
176.70	1.00	1.34	-4.96
177.36	1.00	1.66	-5.02
178.09	1.00	1.56	-5.00
178.66	1.00	1.73	-5.14
178.83	1.00	1.60	-4.94
179.15	1.00	1.42	-4.88
181.02	1.00	1.67	-4.99
181.75	1.00	1.82	-5.09
183.05	1.00	1.01	-4.75
183.75	1.00	1.32	-4.91
184.97	1.00	1.46	-5.17
185.84	1.00	1.68	-5.08
187.05	1.00	1.76	-5.00
187.87	1.00	1.46	-4.91
189.13	1.00	1.51	-5.03
189.75	1.00	1.62	-4.88
190.98	1.00	1.53	-5.02
191.64	1.00	1.54	-5.03
192.75	1.00	1.51	-5.14
193.51	1.00	1.81	-4.97
194.83	1.00	1.04	-5.13
195.68	1.00	1.36	-5.01
197.08	1.00	1.28	-4.99
197.73	1.00	1.34	-5.04
199.01	1.00	1.38	-4.86
199.68	1.00	1.48	-4.71
200.46	1.00	1.07	-4.69
201.76	1.00	1.88	-5.05
202.50	1.00	2.01	-5.02
203.78	1.00	1.75	-4.87
204.24	1.00	1.63	-4.96
205.36	1.00	1.92	-5.14
206.07	1.00	1.72	-5.10
207.35	1.00	1.12	-4.77
208.15	1.00	1.79	-4.73
209.27	1.00	1.21	-4.66
209.82	1.00	2.08	-4.94
211.17	1.00	2.45	-5.11
211.75	1.00	2.50	-5.00
212.94	1.00	1.78	-4.99
214.09	1.00	1.85	-4.95
215.51	1.00	2.38	-5.08
216.45	1.00	2.32	-5.28
217.62	1.00	2.33	-4.93
218.28	1.00	2.44	-5.13
